list_name,NAME_0,NAME_1,NAME_2,NAME_3,label,name
NAME_0,UGA,,,,Uganda,Uganda
NAME_0,COD,,,,Democratic Republic of the Congo,Democratic Republic of the Congo
NAME_1,UGA,Adjumani,,,Adjumani,Adjumani
NAME_1,UGA,Apac,,,Apac,Apac
NAME_1,UGA,Arua,,,Arua,Arua
NAME_1,UGA,Bugiri,,,Bugiri,Bugiri
NAME_1,UGA,Bundibugyo,,,Bundibugyo,Bundibugyo
NAME_1,UGA,Bushenyi,,,Bushenyi,Bushenyi
NAME_1,UGA,Busia,,,Busia,Busia
NAME_1,UGA,Gulu,,,Gulu,Gulu
NAME_1,UGA,Hoima,,,Hoima,Hoima
NAME_1,UGA,Iganga,,,Iganga,Iganga
NAME_1,UGA,Jinja,,,Jinja,Jinja
NAME_1,UGA,Kabale,,,Kabale,Kabale
NAME_1,UGA,Kabarole,,,Kabarole,Kabarole
NAME_1,UGA,Kaberamaido,,,Kaberamaido,Kaberamaido
NAME_1,UGA,Kalangala,,,Kalangala,Kalangala
NAME_1,UGA,Kampala,,,Kampala,Kampala
NAME_1,UGA,Kamuli,,,Kamuli,Kamuli
NAME_1,UGA,Kamwenge,,,Kamwenge,Kamwenge
NAME_1,UGA,Kanungu,,,Kanungu,Kanungu
NAME_1,UGA,Kapchorwa,,,Kapchorwa,Kapchorwa
NAME_1,UGA,Kasese,,,Kasese,Kasese
NAME_1,UGA,Katakwi,,,Katakwi,Katakwi
NAME_1,UGA,Kayunga,,,Kayunga,Kayunga
NAME_1,UGA,Kibale,,,Kibale,Kibale
NAME_1,UGA,Kiboga,,,Kiboga,Kiboga
NAME_1,UGA,Kisoro,,,Kisoro,Kisoro
NAME_1,UGA,Kitgum,,,Kitgum,Kitgum
NAME_1,UGA,Kotido,,,Kotido,Kotido
NAME_1,UGA,Kumi,,,Kumi,Kumi
NAME_1,UGA,Kyenjojo,,,Kyenjojo,Kyenjojo
NAME_1,UGA,Lake_Albert,,,Lake_Albert,Lake_Albert
NAME_1,UGA,Lake_Victoria,,,Lake_Victoria,Lake_Victoria
NAME_1,UGA,Lira,,,Lira,Lira
NAME_1,UGA,Luwero,,,Luwero,Luwero
NAME_1,UGA,Masaka,,,Masaka,Masaka
NAME_1,UGA,Masindi,,,Masindi,Masindi
NAME_1,UGA,Mayuge,,,Mayuge,Mayuge
NAME_1,UGA,Mbale,,,Mbale,Mbale
NAME_1,UGA,Mbarara,,,Mbarara,Mbarara
NAME_1,UGA,Moroto,,,Moroto,Moroto
NAME_1,UGA,Moyo,,,Moyo,Moyo
NAME_1,UGA,Mpigi,,,Mpigi,Mpigi
NAME_1,UGA,Mubende,,,Mubende,Mubende
NAME_1,UGA,Mukono,,,Mukono,Mukono
NAME_1,UGA,Nakapiripirit,,,Nakapiripirit,Nakapiripirit
NAME_1,UGA,Nakasongola,,,Nakasongola,Nakasongola
NAME_1,UGA,Nebbi,,,Nebbi,Nebbi
NAME_1,UGA,Ntungamo,,,Ntungamo,Ntungamo
NAME_1,UGA,Pader,,,Pader,Pader
NAME_1,UGA,Pallisa,,,Pallisa,Pallisa
NAME_1,UGA,Rakai,,,Rakai,Rakai
NAME_1,UGA,Rukungiri,,,Rukungiri,Rukungiri
NAME_1,UGA,Sembabule,,,Sembabule,Sembabule
NAME_1,UGA,Sironko,,,Sironko,Sironko
NAME_1,UGA,Soroti,,,Soroti,Soroti
NAME_1,UGA,Tororo,,,Tororo,Tororo
NAME_1,UGA,Wakiso,,,Wakiso,Wakiso
NAME_1,UGA,Yumbe,,,Yumbe,Yumbe
NAME_1,COD,Equateur,,,Équateur,Equateur
NAME_1,COD,Bandundu,,,Bandundu,Bandundu
NAME_1,COD,Bas-Congo,,,Bas-Congo,Bas-Congo
NAME_1,COD,Kasai-Occidental,,,Kasaï-Occidental,Kasai-Occidental
NAME_1,COD,Kasai-Oriental,,,Kasaï-Oriental,Kasai-Oriental
NAME_1,COD,Katanga,,,Katanga,Katanga
NAME_1,COD,Kinshasa_City,,,Kinshasa_City,Kinshasa_City
NAME_1,COD,Kivu,,,Kivu,Kivu
NAME_1,COD,Orientale,,,Orientale,Orientale
NAME_1,UGA,Other,,,Other,Other
NAME_1,COD,Other,,,Other,Other
NAME_2,UGA,Adjumani,East_Moyo,,East_Moyo,East_Moyo
NAME_2,UGA,Apac,Kole,,Kole,Kole
NAME_2,UGA,Apac,Kwania,,Kwania,Kwania
NAME_2,UGA,Apac,Maruzi,,Maruzi,Maruzi
NAME_2,UGA,Apac,Oyam,,Oyam,Oyam
NAME_2,UGA,Arua,Arua_Municipality,,Arua_Municipality,Arua_Municipality
NAME_2,UGA,Arua,Ayivu,,Ayivu,Ayivu
NAME_2,UGA,Arua,Koboko,,Koboko,Koboko
NAME_2,UGA,Arua,Madi-Okollo,,Madi-Okollo,Madi-Okollo
NAME_2,UGA,Arua,Maracha,,Maracha,Maracha
NAME_2,UGA,Arua,Terego,,Terego,Terego
NAME_2,UGA,Arua,Vurra,,Vurra,Vurra
NAME_2,UGA,Bugiri,Bukooli,,Bukooli,Bukooli
NAME_2,UGA,Bundibugyo,Bwamba,,Bwamba,Bwamba
NAME_2,UGA,Bundibugyo,Ntoroko,,Ntoroko,Ntoroko
NAME_2,UGA,Bushenyi,Buhweju,,Buhweju,Buhweju
NAME_2,UGA,Bushenyi,Bunyaruguru,,Bunyaruguru,Bunyaruguru
NAME_2,UGA,Bushenyi,Igara,,Igara,Igara
NAME_2,UGA,Bushenyi,Ruhinda,,Ruhinda,Ruhinda
NAME_2,UGA,Bushenyi,Sheema,,Sheema,Sheema
NAME_2,UGA,Busia,Samia-Bugwe,,Samia-Bugwe,Samia-Bugwe
NAME_2,UGA,Gulu,Aswa,,Aswa,Aswa
NAME_2,UGA,Gulu,Gulu,,Gulu,Gulu
NAME_2,UGA,Gulu,Kilak,,Kilak,Kilak
NAME_2,UGA,Gulu,Nwoya,,Nwoya,Nwoya
NAME_2,UGA,Gulu,Omoro,,Omoro,Omoro
NAME_2,UGA,Hoima,Bugahya,,Bugahya,Bugahya
NAME_2,UGA,Hoima,Buhaguzi,,Buhaguzi,Buhaguzi
NAME_2,UGA,Iganga,Bugweri,,Bugweri,Bugweri
NAME_2,UGA,Iganga,Busiki,,Busiki,Busiki
NAME_2,UGA,Iganga,Kigulu,,Kigulu,Kigulu
NAME_2,UGA,Iganga,Luuka,,Luuka,Luuka
NAME_2,UGA,Jinja,Butembe,,Butembe,Butembe
NAME_2,UGA,Jinja,Jinja,,Jinja,Jinja
NAME_2,UGA,Jinja,Kagoma,,Kagoma,Kagoma
NAME_2,UGA,Kabale,Kabale,,Kabale,Kabale
NAME_2,UGA,Kabale,Ndorwa,,Ndorwa,Ndorwa
NAME_2,UGA,Kabale,Rubanda,,Rubanda,Rubanda
NAME_2,UGA,Kabale,Rukiga,,Rukiga,Rukiga
NAME_2,UGA,Kabarole,Bunyangabu,,Bunyangabu,Bunyangabu
NAME_2,UGA,Kabarole,Burahya,,Burahya,Burahya
NAME_2,UGA,Kabarole,Fort_Portal,,Fort_Portal,Fort_Portal
