lon,lat,area,key
142.61,-38.45,Warrnambool,142.61|-38.45
142.62,-38.45,Warrnambool,142.62|-38.45
142.60,-38.44,Warrnambool,142.60|-38.44
142.61,-38.44,Warrnambool,142.61|-38.44
142.62,-38.44,Warrnambool,142.62|-38.44
144.85,-38.44,Melbourne,144.85|-38.44
144.86,-38.44,Melbourne,144.86|-38.44
142.58,-38.43,Warrnambool,142.58|-38.43
142.59,-38.43,Warrnambool,142.59|-38.43
142.60,-38.43,Warrnambool,142.60|-38.43
142.61,-38.43,Warrnambool,142.61|-38.43
142.62,-38.43,Warrnambool,142.62|-38.43
144.84,-38.43,Melbourne,144.84|-38.43
144.85,-38.43,Melbourne,144.85|-38.43
144.86,-38.43,Melbourne,144.86|-38.43
144.87,-38.43,Melbourne,144.87|-38.43
142.56,-38.42,Warrnambool,142.56|-38.42
142.57,-38.42,Warrnambool,142.57|-38.42
142.58,-38.42,Warrnambool,142.58|-38.42
142.59,-38.42,Warrnambool,142.59|-38.42
142.60,-38.42,Warrnambool,142.60|-38.42
142.61,-38.42,Warrnambool,142.61|-38.42
142.62,-38.42,Warrnambool,142.62|-38.42
144.83,-38.42,Melbourne,144.83|-38.42
144.84,-38.42,Melbourne,144.84|-38.42
144.85,-38.42,Melbourne,144.85|-38.42
144.86,-38.42,Melbourne,144.86|-38.42
144.87,-38.42,Melbourne,144.87|-38.42
144.88,-38.42,Melbourne,144.88|-38.42
142.54,-38.41,Warrnambool,142.54|-38.41
142.55,-38.41,Warrnambool,142.55|-38.41
142.56,-38.41,Warrnambool,142.56|-38.41
142.57,-38.41,Warrnambool,142.57|-38.41
142.58,-38.41,Warrnambool,142.58|-38.41
142.59,-38.41,Warrnambool,142.59|-38.41
142.60,-38.41,Warrnambool,142.60|-38.41
142.61,-38.41,Warrnambool,142.61|-38.41
142.62,-38.41,Warrnambool,142.62|-38.41
142.63,-38.41,Warrnambool,142.63|-38.41
142.64,-38.41,Warrnambool,142.64|-38.41
144.82,-38.41,Melbourne,144.82|-38.41
144.83,-38.41,Melbourne,144.83|-38.41
144.84,-38.41,Melbourne,144.84|-38.41
144.85,-38.41,Melbourne,144.85|-38.41
144.86,-38.41,Melbourne,144.86|-38.41
141.62,-38.40,Portland,141.62|-38.40
142.47,-38.40,Warrnambool,142.47|-38.40
142.51,-38.40,Warrnambool,142.51|-38.40
142.52,-38.40,Warrnambool,142.52|-38.40
142.53,-38.40,Warrnambool,142.53|-38.40
142.54,-38.40,Warrnambool,142.54|-38.40
142.55,-38.40,Warrnambool,142.55|-38.40
142.56,-38.40,Warrnambool,142.56|-38.40
142.57,-38.40,Warrnambool,142.57|-38.40
142.58,-38.40,Warrnambool,142.58|-38.40
142.59,-38.40,Warrnambool,142.59|-38.40
142.60,-38.40,Warrnambool,142.60|-38.40
142.61,-38.40,Warrnambool,142.61|-38.40
142.62,-38.40,Warrnambool,142.62|-38.40
142.63,-38.40,Warrnambool,142.63|-38.40
142.64,-38.40,Warrnambool,142.64|-38.40
142.65,-38.40,Warrnambool,142.65|-38.40
142.66,-38.40,Warrnambool,142.66|-38.40
142.67,-38.40,Warrnambool,142.67|-38.40
142.68,-38.40,Warrnambool,142.68|-38.40
143.61,-38.40,Colac,143.61|-38.40
144.80,-38.40,Melbourne,144.80|-38.40
144.81,-38.40,Melbourne,144.81|-38.40
144.82,-38.40,Melbourne,144.82|-38.40
144.83,-38.40,Melbourne,144.83|-38.40
144.84,-38.40,Melbourne,144.84|-38.40
144.85,-38.40,Melbourne,144.85|-38.40
145.11,-38.40,Melbourne,145.11|-38.40
145.19,-38.40,Melbourne,145.19|-38.40
145.20,-38.40,Melbourne,145.20|-38.40
145.21,-38.40,Melbourne,145.21|-38.40
145.22,-38.40,Melbourne,145.22|-38.40
141.60,-38.39,Portland,141.60|-38.39
141.61,-38.39,Portland,141.61|-38.39
141.62,-38.39,Portland,141.62|-38.39
141.63,-38.39,Portland,141.63|-38.39
141.64,-38.39,Portland,141.64|-38.39
142.45,-38.39,Warrnambool,142.45|-38.39
142.46,-38.39,Warrnambool,142.46|-38.39
142.47,-38.39,Warrnambool,142.47|-38.39
142.48,-38.39,Warrnambool,142.48|-38.39
142.49,-38.39,Warrnambool,142.49|-38.39
142.50,-38.39,Warrnambool,142.50|-38.39
142.51,-38.39,Warrnambool,142.51|-38.39
142.52,-38.39,Warrnambool,142.52|-38.39
142.53,-38.39,Warrnambool,142.53|-38.39
142.54,-38.39,Warrnambool,142.54|-38.39
